"","Nat","Pokemon","HiddenAbility"
"1",1,"Bulbasaur","Chlorophyll"
"2",2,"Ivysaur","Chlorophyll"
"3",3,"Venusaur","Chlorophyll"
"4",4,"Charmander","Solar Power"
"5",5,"Charmeleon","Solar Power"
"6",6,"Charizard","Solar Power"
"7",7,"Squirtle","Rain Dish"
"8",8,"Wartortle","Rain Dish"
"9",9,"Blastoise","Rain Dish"
"10",10,"Caterpie","Run Away"
"11",11,"Metapod",""
"12",12,"Butterfree","Tinted Lens"
"13",13,"Weedle","Run Away"
"14",14,"Kakuna",""
"15",15,"Beedrill","Sniper"
"16",16,"Pidgey","Big Pecks"
"17",17,"Pidgeotto","Big Pecks"
"18",18,"Pidgeot","Big Pecks"
"19",19,"Rattata","Hustle"
"21",20,"Raticate","Hustle"
"23",21,"Spearow","Sniper"
"24",22,"Fearow","Sniper"
"25",23,"Ekans","Unnerve"
"26",24,"Arbok","Unnerve"
"27",25,"Pikachu","Lightningrod"
"28",26,"Raichu","Lightningrod"
"30",27,"Sandshrew","Sand Rush"
"32",28,"Sandslash","Sand Rush"
"34",29,"Nidoran ♀","Hustle"
"37",32,"Nidoran ♂","Hustle"
"38",33,"Nidorino","Hustle"
"39",34,"Nidoking","Sheer Force"
"40",35,"Clefairy","Friend Guard"
"41",36,"Clefable","Unaware"
"42",37,"Vulpix","Drought"
"44",38,"Ninetales","Drought"
"46",39,"Jigglypuff","Friend Guard"
"47",40,"Wigglytuff","Frisk"
"48",41,"Zubat","Infiltrator"
"49",42,"Golbat","Infiltrator"
"50",43,"Oddish","Run Away"
"51",44,"Gloom","Stench"
"52",45,"Vileplume","Effect Spore"
"53",46,"Paras","Damp"
"54",47,"Parasect","Damp"
"55",48,"Venonat","Run Away"
"56",49,"Venomoth","Wonderskin"
"57",50,"Diglett","Sand Force"
"59",51,"Dugtrio","Sand Force"
"61",52,"Meowth","Unnerve"
"64",53,"Persian","Unnerve"
"66",54,"Psyduck","Swift Swim"
"67",55,"Golduck","Swift Swim"
"68",56,"Mankey","Defiant"
"69",57,"Primeape","Defiant"
"70",58,"Growlithe","Justified"
"72",59,"Arcanine","Justified"
"74",60,"Poliwag","Swift Swim"
"75",61,"Poliwhirl","Swift Swim"
"76",62,"Poliwrath","Swift Swim"
"77",63,"Abra","Magic Guard"
"78",64,"Kadabra","Magic Guard"
