"","Nat","Pokemon","HiddenAbility","Gender"
"4",4,"Charmander","Solar Power","M (87.5%)"
"5",5,"Charmeleon","Solar Power","M (87.5%)"
"6",6,"Charizard","Solar Power","M (87.5%)"
"27",25,"Pikachu","Lightningrod","Neutral"
"28",26,"Raichu","Lightningrod","Neutral"
"46",39,"Jigglypuff","Friend Guard","F (75%)"
"47",40,"Wigglytuff","Frisk","F (75%)"
"55",48,"Venonat","Run Away","Neutral"
"56",49,"Venomoth","Wonderskin","Neutral"
"57",50,"Diglett","Sand Force","Neutral"
"58",50,"Alolan Diglett","Sand Force","Neutral"
"59",51,"Dugtrio","Sand Force","Neutral"
"60",51,"Alolan Dugtrio","Sand Force","Neutral"
"61",52,"Meowth","Unnerve","Neutral"
"62",52,"Alolan Meowth","Rattled","Neutral"
"63",52,"Galarian Meowth","Unnerve","Neutral"
"64",53,"Persian","Unnerve","Neutral"
"65",53,"Alolan Persian","Rattled","Neutral"
"66",54,"Psyduck","Swift Swim","Neutral"
"67",55,"Golduck","Swift Swim","Neutral"
"68",56,"Mankey","Defiant","Neutral"
"69",57,"Primeape","Defiant","Neutral"
"70",58,"Growlithe","Justified","M (75%)"
"71",58,"Hisuian Growlithe","Justified","M (75%)"
"72",59,"Arcanine","Justified","M (75%)"
"73",59,"Hisuian Arcanine","Justified","M (75%)"
"98",79,"Slowpoke","Regenerator","Neutral"
"99",79,"G. Slowpoke","Regenerator","Neutral"
"100",80,"Slowbro","Regenerator","Neutral"
"101",80,"G. Slowbro","Regenerator","Neutral"
"110",88,"Grimer","Poison Touch","Neutral"
"112",89,"Muk","Poison Touch","Neutral"
"114",90,"Shellder","Overcoat","Neutral"
"115",91,"Cloyster","Overcoat","Neutral"
"116",92,"Gastly","","Neutral"
"117",93,"Haunter","","Neutral"
"118",94,"Gengar","","Neutral"
"120",96,"Drowzee","Inner Focus","Neutral"
"121",97,"Hypno","Inner Focus","Neutral"
"142",113,"Chansey","Healer","F (100%)"
"153",123,"Scyther","Steadfast","Neutral"
"158",128,"Tauros","Sheer Force","M (100%)"
"159",128,"P. Tauros","Cud Chew","M (100%)"
"160",128,"P. Tauros F","Cud Chew","M (100%)"
"161",128,"P. Tauros W","Cud Chew","M (100%)"
"162",129,"Magikarp","Rattled","Neutral"
"163",130,"Gyarados","Moxie","Neutral"
"166",133,"Eevee","Anticipation","M (87.5%)"
"167",134,"Vaporeon","Hydration","M (87.5%)"
"168",135,"Jolteon","Quick Feet","M (87.5%)"
"169",136,"Flareon","Guts","M (87.5%)"
"183",147,"Dratini","Marvel Scale","Neutral"
"184",148,"Dragonair","Marvel Scale","Neutral"
"185",149,"Dragonite","Multiscale","Neutral"
"191",155,"Cyndaquil","Flash Fire","M (87.5%)"
"192",156,"Quilava","Flash Fire","M (87.5%)"
"193",157,"Typhlosion","Flash Fire","M (87.5%)"
"194",157,"H. Typhlosion","Flash Fire","M (87.5%)"
"216",179,"Mareep","Plus","Neutral"
"217",180,"Flaaffy","Plus","Neutral"
"218",181,"Ampharos","Plus","Neutral"
"220",183,"Marill","Sap Sipper","Neutral"
"221",184,"Azumarill","Sap Sipper","Neutral"
"222",185,"Sudowoodo","Rattled","Neutral"
"224",187,"Hoppip","Infiltrator","Neutral"
"225",188,"Skiploom","Infiltrator","Neutral"
"226",189,"Jumpluff","Infiltrator","Neutral"
"228",191,"Sunkern","Early Bird","Neutral"
"229",192,"Sunflora","Early Bird","Neutral"
"231",194,"Wooper","Unaware","Neutral"
"232",194,"P. Wooper","Unaware","Neutral"
"233",195,"Quagsire","Unaware","Neutral"
"234",196,"Espeon","Magic Bounce","M (87.5%)"
"235",197,"Umbreon","Inner Focus","M (87.5%)"
