"","Nat","Pokemon","HiddenAbility","Gender"
"1",1,"Bulbasaur","Chlorophyll","M (87.5%)"
"2",2,"Ivysaur","Chlorophyll","M (87.5%)"
"3",3,"Venusaur","Chlorophyll","M (87.5%)"
"4",4,"Charmander","Solar Power","M (87.5%)"
"5",5,"Charmeleon","Solar Power","M (87.5%)"
"6",6,"Charizard","Solar Power","M (87.5%)"
"7",7,"Squirtle","Rain Dish","M (87.5%)"
"8",8,"Wartortle","Rain Dish","M (87.5%)"
"9",9,"Blastoise","Rain Dish","M (87.5%)"
"10",10,"Caterpie","Run Away","Neutral"
"11",11,"Metapod","","Neutral"
"12",12,"Butterfree","Tinted Lens","Neutral"
"27",25,"Pikachu","Lightningrod","Neutral"
"28",26,"Raichu","Lightningrod","Neutral"
"30",27,"Sandshrew","Sand Rush","Neutral"
"31",27,"Alolan Sandshrew","Slush Rush","Neutral"
"32",28,"Sandslash","Sand Rush","Neutral"
"33",28,"Alolan Sandslash","Slush Rush","Neutral"
"34",29,"Nidoran ♀","Hustle","F (100%)"
"37",32,"Nidoran ♂","Hustle","M (100%)"
"38",33,"Nidorino","Hustle","M (100%)"
"39",34,"Nidoking","Sheer Force","M (100%)"
"40",35,"Clefairy","Friend Guard","F (75%)"
"41",36,"Clefable","Unaware","F (75%)"
"42",37,"Vulpix","Drought","F (75%)"
"43",37,"Alolan Vulpix","Snow Warning","F (75%)"
"44",38,"Ninetales","Drought","F (75%)"
"45",38,"Alolan Ninetales","Snow Warning","F (75%)"
"46",39,"Jigglypuff","Friend Guard","F (75%)"
"47",40,"Wigglytuff","Frisk","F (75%)"
"48",41,"Zubat","Infiltrator","Neutral"
"49",42,"Golbat","Infiltrator","Neutral"
"50",43,"Oddish","Run Away","Neutral"
"51",44,"Gloom","Stench","Neutral"
"52",45,"Vileplume","Effect Spore","Neutral"
"57",50,"Diglett","Sand Force","Neutral"
"58",50,"Alolan Diglett","Sand Force","Neutral"
"59",51,"Dugtrio","Sand Force","Neutral"
"60",51,"Alolan Dugtrio","Sand Force","Neutral"
"61",52,"Meowth","Unnerve","Neutral"
"62",52,"Alolan Meowth","Rattled","Neutral"
"63",52,"Galarian Meowth","Unnerve","Neutral"
"64",53,"Persian","Unnerve","Neutral"
"65",53,"Alolan Persian","Rattled","Neutral"
"66",54,"Psyduck","Swift Swim","Neutral"
"67",55,"Golduck","Swift Swim","Neutral"
"70",58,"Growlithe","Justified","M (75%)"
"72",59,"Arcanine","Justified","M (75%)"
"74",60,"Poliwag","Swift Swim","Neutral"
"75",61,"Poliwhirl","Swift Swim","Neutral"
"76",62,"Poliwrath","Swift Swim","Neutral"
"77",63,"Abra","Magic Guard","M (75%)"
"78",64,"Kadabra","Magic Guard","M (75%)"
"79",65,"Alakazam","Magic Guard","M (75%)"
"80",66,"Machop","Steadfast","M (75%)"
"81",67,"Machoke","Steadfast","M (75%)"
