Nat,Pokemon,TypeI,TypeII,AbilityI,AbilityII,HiddenAbility,Gender,EggGroupI,EggGroupII,Catch,Evolve,Form,GenII,GenIII,GenIV,GenV,GenVI,SunMoon,ORAS,SwSh,BDSP,SV
1,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,M (87.5%),Monster,Grass,45,,Base,X,X,X,X,X,X,X,X,X,
2,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,M (87.5%),Monster,Grass,45,Lv. 16,Base,X,X,X,X,X,X,X,X,X,
3,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,M (87.5%),Monster,Grass,45,Lv. 32,Base,X,X,X,X,X,X,X,X,X,
4,Charmander,Fire,,Blaze,,Solar Power,M (87.5%),Monster,Dragon,45,,Base,X,X,X,X,X,X,X,X,X,X
5,Charmeleon,Fire,,Blaze,,Solar Power,M (87.5%),Monster,Dragon,45,Lv. 16,Base,X,X,X,X,X,X,X,X,X,X
6,Charizard,Fire,Flying,Blaze,,Solar Power,M (87.5%),Monster,Dragon,45,Lv. 36,Base,X,X,X,X,X,X,X,X,X,X
7,Squirtle,Water,,Torrent,,Rain Dish,M (87.5%),Monster,Water 1,45,,Base,X,X,X,X,X,X,X,X,X,
8,Wartortle,Water,,Torrent,,Rain Dish,M (87.5%),Monster,Water 1,45,Lv. 16,Base,X,X,X,X,X,X,X,X,X,
9,Blastoise,Water,,Torrent,,Rain Dish,M (87.5%),Monster,Water 1,45,Lv. 36,Base,X,X,X,X,X,X,X,X,X,
10,Caterpie,Bug,,Shield Dust,,Run Away,Neutral,Bug,,255,,Base,X,X,X,X,X,X,X,X,X,
11,Metapod,Bug,,Shed Skin,,,Neutral,Bug,,120,Lv. 7,Base,X,X,X,X,X,X,X,X,X,
12,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,Neutral,Bug,,45,Lv. 10,Base,X,X,X,X,X,X,X,X,X,
13,Weedle,Bug,Poison,Shield Dust,,Run Away,Neutral,Bug,,255,,Base,X,X,X,X,X,X,X,,X,
14,Kakuna,Bug,Poison,Shed Skin,,,Neutral,Bug,,120,Lv. 7,Base,X,X,X,X,X,X,X,,X,
15,Beedrill,Bug,Poison,Swarm,,Sniper,Neutral,Bug,,45,Lv. 10,Base,X,X,X,X,X,X,X,,X,
16,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Neutral,Flying,,255,,Base,X,X,X,X,X,X,X,,X,
17,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Neutral,Flying,,120,Lv. 18,Base,X,X,X,X,X,X,X,,X,
18,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Neutral,Flying,,45,Lv. 36,Base,X,X,X,X,X,X,X,,X,
19,Rattata,Normal,,Run Away,Guts,Hustle,Neutral,Field,,255,,Base,X,X,X,X,X,X,X,,X,
19,Alolan Rattata,Dark,Normal,Gluttony,Hustle,Thick Fat,Neutral,Field,,255,,Alolan,,,,X,X,X,X,,,
20,Raticate,Normal,,Run Away,Guts,Hustle,Neutral,Field,,127,Lv. 20,Base,X,X,X,X,X,X,X,,X,
20,Alolan Raticate,Dark,Normal,Gluttony,Hustle,Thick Fat,Neutral,Field,,127,Level 20 (At night),Alolan,,,,,,X,X,,,
21,Spearow,Normal,Flying,Keen Eye,,Sniper,Neutral,Flying,,255,,Base,X,X,X,X,X,X,X,,X,
22,Fearow,Normal,Flying,Keen Eye,,Sniper,Neutral,Flying,,90,Lv. 20,Base,X,X,X,X,X,X,X,,X,
23,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,Neutral,Field,Dragon,255,,Base,X,X,X,X,X,X,X,,X,
24,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,Neutral,Field,Dragon,90,Lv. 22,Base,X,X,X,X,X,X,X,,X,
25,Pikachu,Electric,,Static,,Lightning Rod,Neutral,Field,Fairy,190,Friendship,Base,X,X,X,X,X,X,X,X,X,X
26,Raichu,Electric,,Static,,Lightning Rod,Neutral,Field,Fairy,75,Thunderstone,Base,X,X,X,X,X,X,X,X,X,X
26,Alolan Raichu,Electric,Psychic,Surge Surfer,,,Neutral,Field,Fairy,75,Thunderstone (Alola Only),Alolan,,,,,,,,,,
27,Sandshrew,Ground,,Sand Veil,,Sand Rush,Neutral,Field,,255,,Base,X,X,X,X,X,X,X,X,X,
27,Alolan Sandshrew,Ice,Steel,Snow Cloak,,Slush Rush,Neutral,Field,,255,,Alolan,,,,,,X,X,X,,
28,Sandslash,Ground,,Sand Veil,,Sand Rush,Neutral,Field,,90,Lv. 22,Base,X,X,X,X,X,X,X,X,X,
28,Alolan Sandslash,Ice,Steel,Snow Cloak,,Slush Rush,Neutral,Field,,90,Ice Stone,Alolan,,,,,,X,X,X,,
29,Nidoran ♀,Poison,,Poison Point,Rivalry,Hustle,F (100%),Monster,Field,235,,Base,X,X,X,X,X,X,X,X,X,
30,Nidorina,Poison,,Poison Point,Rivalry,Hustle,F (100%),-,,120,Lv. 16,Base,X,X,X,X,X,X,X,X,X,
31,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,F (100%),-,,45,Moon Stone,Base,X,X,X,X,X,X,X,X,X,
32,Nidoran ♂,Poison,,Poison Point,Rivalry,Hustle,M (100%),Monster,Field,235,,Base,X,X,X,X,X,X,X,X,X,
33,Nidorino,Poison,,Poison Point,Rivalry,Hustle,M (100%),Monster,Field,120,Lv. 16,Base,X,X,X,X,X,X,X,X,X,
34,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,M (100%),Monster,Field,45,Moon Stone,Base,X,X,X,X,X,X,X,X,X,
35,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,F (75%),Fairy,,150,Friendship,Base,X,X,X,X,X,X,X,X,X,
36,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,F (75%),Fairy,,25,Moon Stone,Base,X,X,X,X,X,X,X,X,X,
37,Vulpix,Fire,,Flash Fire,,Drought,F (75%),Field,,190,,Base,X,X,X,X,X,X,X,X,X,
37,Alolan Vulpix,Ice,Fairy,Snow Cloak,,Snow Warning,F (75%),Field,,190,,Alolan,,,,,,X,X,X,,
38,Ninetales,Fire,,Flash Fire,,Drought,F (75%),Field,,75,Fire Stone,Base,X,X,X,X,X,X,X,X,X,
38,Alolan Ninetales,Ice,Fairy,Snow Cloak,,Snow Warning,F (75%),Field,,75,Ice Stone,Alolan,,,,,,X,X,X,,
39,Jigglypuff,Normal,Fairy,Cute Charm,,Friend Guard,F (75%),Fairy,,170,Friendship,Base,X,X,X,X,X,X,X,X,X,X
40,Wigglytuff,Normal,Fairy,Cute Charm,,Frisk,F (75%),Fairy,,50,Moon Stone,Base,X,X,X,X,X,X,X,X,X,X
41,Zubat,Poison,Flying,Inner Focus,,Infiltrator,Neutral,Flying,,255,,Base,X,X,X,X,X,X,X,X,X,
42,Golbat,Poison,Flying,Inner Focus,,Infiltrator,Neutral,Flying,,90,Lv. 22,Base,X,X,X,X,X,X,X,X,X,
43,Oddish,Grass,Poison,Chlorophyll,,Run Away,Neutral,Grass,,255,,Base,X,X,X,X,X,X,X,X,X,
44,Gloom,Grass,Poison,Chlorophyll,,Stench,Neutral,Grass,,120,Lv. 22,Base,X,X,X,X,X,X,X,X,X,
45,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,Neutral,Grass,,45,Leaf Stone,Base,X,X,X,X,X,X,X,X,X,
46,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,Neutral,Bug,Grass,190,,Base,X,X,X,X,X,X,X,,X,
47,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,Neutral,Bug,Grass,75,Lv. 24,Base,X,X,X,X,X,X,X,,X,
48,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Neutral,Bug,,190,,Base,X,X,X,X,X,X,X,,X,X
49,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Neutral,Bug,,75,Lv. 31,Base,X,X,X,X,X,X,X,,X,X
50,Diglett,Ground,,Sand Veil,Arena Trap,Sand Force,Neutral,Field,,255,,Base,X,X,X,X,X,X,X,X,X,X
50,Alolan Diglett,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Neutral,Field,,255,,Alolan,,,,,,X,X,X,,X
51,Dugtrio,Ground,,Sand Veil,Arena Trap,Sand Force,Neutral,Field,,50,Lv. 26,Base,X,X,X,X,X,X,X,X,X,X
51,Alolan Dugtrio,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Neutral,Field,,50,Level 26,Alolan,,,,,,X,X,X,,X
52,Meowth,Normal,,Pickup,Technician,Unnerve,Neutral,Field,,255,,Base,X,X,X,X,X,X,X,X,X,X
52,Alolan Meowth,Dark,,Pickup,Technician,Rattled,Neutral,Field,,255,,Alolan,,,,,,X,X,X,,X
52,Galarian Meowth,Steel,,Pickup,Tough Claws,Unnerve,Neutral,Field,,255,,Galarian,,,,,,,,X,,X
53,Persian,Normal,,Limber,Technician,Unnerve,Neutral,Field,,90,Lv. 28,Base,X,X,X,X,X,X,X,X,X,X
53,Alolan Persian,Dark,,Fur Coat,Technician,Rattled,Neutral,Field,,90,Level 26,Alolan,,,,,,X,X,X,,X
54,Psyduck,Water,,Damp,Cloud Nine,Swift Swim,Neutral,Water 1,Field,190,,Base,X,X,X,X,X,X,X,X,X,X
55,Golduck,Water,,Damp,Cloud Nine,Swift Swim,Neutral,Water 1,Field,75,Lv. 33,Base,X,X,X,X,X,X,X,X,X,X
56,Mankey,Fighting,,Vital Spirit,Anger Point,Defiant,Neutral,Field,,190,,Base,X,X,X,X,X,X,X,,X,X
57,Primeape,Fighting,,Vital Spirit,Anger Point,Defiant,Neutral,Field,,75,Lv. 28,Base,X,X,X,X,X,X,X,,X,X
58,Growlithe,Fire,,Intimidate,Flash Fire,Justified,M (75%),Field,,190,,Base,X,X,X,X,X,X,X,X,X,X
58,Hisuian Growlithe,Fire,Rock,Intimidate,Flash Fire,Justified,M (75%),Field,,190,,Hisuian,,,,,,,,,,X
59,Arcanine,Fire,,Intimidate,Flash Fire,Justified,M (75%),Field,,75,Fire Stone,Base,X,X,X,X,X,X,X,X,X,X
59,Hisuian Arcanine,Fire,Rock,Intimidate,Flash Fire,Justified,M (75%),Field,,75,Fire Stone,Hisuian,,,,,,,,,,X
60,Poliwag,Water,,Water Absorb,Damp,Swift Swim,Neutral,Water 1,,255,,Base,X,X,X,X,X,X,X,X,X,
61,Poliwhirl,Water,,Water Absorb,Damp,Swift Swim,Neutral,Water 1,,120,Lv. 25,Base,X,X,X,X,X,X,X,X,X,
62,Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,Neutral,Water 1,,45,Water Stone,Base,X,X,X,X,X,X,X,X,X,
63,Abra,Psychic,,Synchronize,Inner Focus,Magic Guard,M (75%),Human-Like,,200,,Base,X,X,X,X,X,X,X,X,X,
64,Kadabra,Psychic,,Synchronize,Inner Focus,Magic Guard,M (75%),Human-Like,,100,Lv. 16,Base,X,X,X,X,X,X,X,X,X,
65,Alakazam,Psychic,,Synchronize,Inner Focus,Magic Guard,M (75%),Human-Like,,50,Trade,Base,X,X,X,X,X,X,X,X,X,
66,Machop,Fighting,,Guts,No Guard,Steadfast,M (75%),Human-Like,,180,,Base,X,X,X,X,X,X,X,X,X,
67,Machoke,Fighting,,Guts,No Guard,Steadfast,M (75%),Human-Like,,90,Lv. 28,Base,X,X,X,X,X,X,X,X,X,
68,Machamp,Fighting,,Guts,No Guard,Steadfast,M (75%),Human-Like,,45,Trade,Base,X,X,X,X,X,X,X,X,X,
69,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,Neutral,Grass,,255,,Base,X,X,X,X,X,X,X,,X,
70,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,Neutral,Grass,,120,Lv. 21,Base,X,X,X,X,X,X,X,,X,
